Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
I12786	I12786_ERS8208052	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12786_ERS8208052_L1_R1.fastq.gz	NA	NA
I12785	I12785_ERS8208050	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12785_ERS8208050_L1_R1.fastq.gz	NA	NA
I14986	I14986_ERS8208391	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I14986_ERS8208391_L1_R1.fastq.gz	NA	NA
I12785	I12785_ERS8208049	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12785_ERS8208049_L1_R1.fastq.gz	NA	NA
I12787	I12787_ERS8208054	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12787_ERS8208054_L1_R1.fastq.gz	NA	NA
I12611	I12611_ERS8208021	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12611_ERS8208021_L1_R1.fastq.gz	NA	NA
I12612	I12612_ERS8208023	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12612_ERS8208023_L1_R1.fastq.gz	NA	NA
I12611	I12611_ERS8208022	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12611_ERS8208022_L1_R1.fastq.gz	NA	NA
I12612	I12612_ERS8208024	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12612_ERS8208024_L1_R1.fastq.gz	NA	NA
I16791	I16791_ERS8208702	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16791_ERS8208702_L1_R1.fastq.gz	NA	NA
I13471	I13471_ERS8208101	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13471_ERS8208101_L1_R1.fastq.gz	NA	NA
I13471	I13471_ERS8208102	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13471_ERS8208102_L1_R1.fastq.gz	NA	NA
I13470	I13470_ERS8208100	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13470_ERS8208100_L1_R1.fastq.gz	NA	NA
